"","site","lon","lat","time","colonia","dist.col","frequency","no.ind"
"1",10,-64.67413,-54.861866,"04:00:00",1,54.1789681757994,277,5
"2",68,-64.666664,-54.85227,"04:00:00",0,380.081043225559,2,1
"3",71,-64.72747,-54.817066,"04:00:00",0,5122.62192283551,1,1
"4",81,-64.7008,-54.8032,"04:00:00",0,5511.34460571234,1,1
"5",87,-64.66347,-54.850132,"04:00:00",0,479.476429630728,1,1
"6",88,-64.664536,-54.85227,"04:00:00",0,414.230192553969,2,1
"7",95,-64.51307,-54.7968,"04:00:00",0,11726.1459751111,1,1
"8",97,-64.7264,-54.8544,"04:00:00",0,2972.2501137224,1,1
"9",98,-64.733864,-54.858665,"04:00:00",0,3350.12278515188,4,1
"10",102,-64.736,-54.858665,"04:00:00",0,3486.46942329346,3,1
"11",104,-64.733864,-54.8064,"04:00:00",0,6277.75263329833,3,1
"12",105,-64.72853,-54.80747,"04:00:00",0,5969.47528955154,1,1
"13",110,-64.71253,-54.797867,"04:00:00",0,6348.48537384935,2,2
"14",111,-64.25066,-54.727467,"04:00:00",0,30255.969449146,2,1
"15",113,-64.733864,-54.80747,"04:00:00",0,6186.8209716769,1,1
"16",114,-64.672,-54.8,"04:00:00",0,5528.13890433126,1,1
"17",116,-64.73067,-54.805332,"04:00:00",0,6241.74278103214,4,2
"18",117,-64.5088,-54.795734,"04:00:00",0,12023.1696141582,1,1
"19",119,-64.24747,-54.727467,"04:00:00",0,30439.3539268909,1,1
"20",120,-64.72747,-54.8064,"04:00:00",0,6022.53208188568,13,2
"21",122,-64.724266,-54.805332,"04:00:00",0,5998.68521264055,6,2
"22",125,-64.28267,-54.731735,"04:00:00",0,28206.9596894376,1,1
"23",126,-64.24427,-54.727467,"04:00:00",0,30623.5906019428,1,1
"24",131,-64.71467,-54.8,"04:00:00",0,6194.41725849009,3,1
"25",132,-64.27627,-54.730667,"04:00:00",0,28626.9695195625,1,1
"26",136,-64.13333,-54.7712,"04:00:00",0,35053.9781715172,1,1
"27",138,-64.72,-54.798935,"04:00:00",0,6459.58736236096,1,1
"28",139,-63.81333,-54.754135,"04:00:00",0,55257.0432017605,1,1
"29",141,-64.72213,-54.80213,"04:00:00",0,6221.95169603192,2,1
"30",144,-64.24,-54.702934,"04:00:00",0,32173.5646630003,2,1
"31",149,-63.808,-54.718933,"04:00:00",0,56733.5903752792,1,1
"32",150,-64.6752,-54.801067,"04:00:00",0,5415.68073886388,1,1
"33",152,-64.72107,-54.804268,"04:00:00",0,5984.08712967494,3,1
"34",153,-64.725334,-54.805332,"04:00:00",0,6037.95171139138,14,2
"35",157,-64.72747,-54.8032,"04:00:00",0,6311.06511664077,1,1
"36",164,-64.2464,-54.7456,"04:00:00",0,29650.4433771159,4,1
"37",166,-64.25813,-54.673065,"04:00:00",0,33045.15886056,3,1
"38",169,-64.2176,-54.853333,"04:00:00",0,27578.5852048764,2,1
"39",171,-64.512,-54.792534,"04:00:00",0,12030.2720509374,1,1
"40",175,-64.5184,-54.776535,"04:00:00",0,12741.927190553,1,1
"41",177,-64.25066,-54.7456,"04:00:00",0,29398.5125558626,1,1
