"","ind","site","lon","lat","time","colonia","dist.col","frequency"
"1","D",2,-64.673065,-54.861866,"day",1,70.3989933585239,1
"2","D",3,-64.67627,-54.856533,"both",1,17.5017477191471,24
"3","D",4,-64.6784,-54.859734,"day",1,64.2543026576429,2
"4","D",9,-64.6688,-54.85227,"night",1,315.593764364023,16
"5","D",12,-64.67733,-54.8576,"day",1,0.0726034828750366,9
"6","D",13,-64.67733,-54.8608,"day",1,87.0031967344288,1
"7","D",15,-64.6784,-54.856533,"both",1,121.069035763666,12
"8","D",19,-64.67733,-54.855465,"day",1,154.370300093044,5
"9","D",21,-64.67733,-54.862934,"day",1,1.84590333875455,1
"10","D",22,-64.672,-54.8704,"day",1,273.556972167977,2
"11","D",24,-64.673065,-54.853333,"both",1,262.939005928729,6
"12","D",25,-64.66987,-54.866135,"day",1,3.85044152460807,1
"13","D",30,-64.67627,-54.853333,"day",1,317.91575034342,4
"14","D",33,-64.673065,-54.855465,"day",1,30.5312344829691,8
"15","D",35,-64.658134,-54.85227,"day",0,691.245250140773,1
"16","D",36,-64.67094,-54.85227,"both",1,283.448949800735,14
"17","D",37,-64.65707,-54.875732,"day",1,52.3029584661086,1
"18","D",39,-64.66133,-54.85227,"day",0,531.85991339582,1
"19","D",40,-64.65493,-54.878933,"both",1,62.1458835512454,2
"20","D",41,-64.65493,-54.882133,"day",1,156.355840973247,1
"21","D",43,-64.6816,-54.856533,"night",1,254.283464280792,1
"22","D",46,-64.6688,-54.8544,"both",1,158.525245672516,7
"23","D",48,-64.673065,-54.856533,"day",1,5.46997265332553,5
"24","D",52,-64.73067,-54.845867,"day",0,3538.93728029758,1
"25","D",55,-64.664536,-54.87467,"day",1,141.705309310872,1
"26","D",60,-64.69013,-54.8448,"day",0,1331.35486526093,1
"27","D",65,-64.67094,-54.848,"day",1,185.744705583478,1
"28","D",68,-64.666664,-54.85227,"night",0,380.081043225559,2
"29","D",69,-64.666664,-54.855465,"day",1,38.434008977617,1
"30","D",70,-64.6912,-54.805332,"day",0,5100.06706036521,1
"31","D",72,-64.6688,-54.845867,"day",0,445.115774878211,2
"32","D",76,-64.65707,-54.821335,"day",0,3277.03331430611,1
"33","D",79,-64.66987,-54.8512,"both",1,178.887550138432,2
"34","D",84,-64.666664,-54.8512,"night",1,319.129498945065,3
"35","D",86,-64.3456,-54.727467,"day",0,24953.6763472081,1
"36","D",88,-64.664536,-54.85227,"night",0,414.230192553969,2
"37","D",100,-64.546135,-54.725334,"day",0,15996.9458933191,1
"38","D",108,-64.74987,-54.834133,"day",0,5253.13995007832,1
"39","D",110,-64.71467,-54.797867,"night",0,6407.22725620016,1
"40","D",121,-64.60907,-54.907734,"day",0,3648.03160129958,1
"41","D",123,-64.6592,-54.882133,"day",1,74.5956770262561,1
"42","D",127,-64.57387,-54.814934,"day",0,7336.14573451339,1
"43","D",135,-64.234665,-54.701866,"day",0,32529.9784033869,1
"44","D",140,-64.263466,-54.676266,"day",0,32556.5144429677,1
"45","D",143,-64.26133,-54.674133,"day",0,32808.6619510227,1
"46","D",144,-64.24,-54.702934,"night",0,32173.5646630003,2
"47","D",147,-64.2432,-54.702934,"day",0,31996.3811991495,1
